errorCorrect,subject,trialNum
-1.70409980987996,1,1
4.74369232654121,1,2
2.32273049789866,1,3
-2.49249131225707,1,4
-8.66036102504989,1,5
18.1362545490692,1,6
4.77732098753314,1,7
-12.5936337155576,1,8
-7.14480219851827,1,9
4.8791464315465,1,10
-0.0929430036532892,1,11
-8.26078534639063,1,12
-2.74559081081849,1,13
7.07155215874242,1,14
-3.25900228108709,1,15
9.32474911180402,1,16
-3.57292210321912,1,17
9.61765673390145,1,18
6.35968075246852,1,19
1.32496839559826,1,20
11.6665475499354,1,21
-7.15685868555572,1,22
-11.9176678812104,1,23
8.36271749056623,1,24
-18.0218975506321,1,25
-7.31337483334902,1,26
7.90366228268257,1,27
-6.88515788982459,1,28
1.2295647652407,1,29
-2.93719036166526,1,30
-2.20722728965456,1,31
0.217173722389136,1,32
-9.12482568406324,1,33
10.2420267679044,1,34
-1.44250583050259,1,35
-8.49314425345387,1,36
9.18070339468648,1,37
-4.30778290010814,1,38
7.16880186017258,1,39
-3.98119400916542,1,40
0.266255128898846,1,41
-8.6670999112087,1,42
-8.88807078234277,1,43
5.8952862901672,1,44
8.71914272093316,1,45
-8.12255968186745,1,46
6.46095558140877,1,47
-9.75230956846489,1,48
23.8749092194113,1,49
-3.9641364004253,1,50
-3.83421092764022,1,51
18.3106821975761,1,52
-40.8421004754538,1,53
-40.0555289058189,1,54
-66.1653801158752,1,55
-45.6127096344166,1,56
-34.4581671165573,1,57
-57.5324431318746,1,58
-14.4617470455294,1,59
-50.2821505355011,1,60
-7.75286154539815,1,61
-17.8222761627034,1,62
-35.5164980629592,1,63
-36.44693340578,1,64
-13.1246229440116,1,65
-45.8129790781321,1,66
-20.7710789080239,1,67
-37.7726163520308,1,68
26.9630870047929,1,69
-22.6338481432243,1,70
-34.9815990250116,1,71
-63.4448355330766,1,72
-46.1512989735124,1,73
-28.8549488443307,1,74
-55.9384483742543,1,75
5.28361594405119,1,76
-24.4447461399881,1,77
-32.9181915952131,1,78
-9.50480666116896,1,79
-22.8189971787151,1,80
-26.8434518358242,1,81
-35.7028559732626,1,82
-38.0590030157657,1,83
-46.5223817107255,1,84
-31.6833091033276,1,85
-21.9778410171712,1,86
-37.1290659784718,1,87
-30.2077619181284,1,88
-32.4401203391996,1,89
-30.8958798647485,1,90
-34.1079239309311,1,91
-46.2639422444001,1,92
-29.8991100901705,1,93
-25.2762001754639,1,94
-26.1602770095514,1,95
-46.4296723666655,1,96
-19.0771549702512,1,97
-41.7087186195693,1,98
-53.3919959463981,1,99
-19.0338767286526,1,100
-28.9010113447101,1,101
-53.0904360644856,1,102
-21.8723945181389,1,103
-43.9295660253877,1,104
-57.9457475292926,1,105
-18.1656775531281,1,106
-39.0535009546977,1,107
-31.4154537268099,1,108
